dataset,image_id,source_path,out_dir,semantic_mapping,ours_num_thing_instances,cups_num_thing_instances
cityscapes,munster_000001_000019,/Users/qbit-glitch/Desktop/datasets/cityscapes/leftImg8bit/val/munster/munster_000001_000019_leftImg8bit.png,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results/cityscapes/munster_000001_000019,cityscapes27,19,8
cityscapes,frankfurt_000001_004327,/Users/qbit-glitch/Desktop/datasets/cityscapes/leftImg8bit/val/frankfurt/frankfurt_000001_004327_leftImg8bit.png,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results/cityscapes/frankfurt_000001_004327,cityscapes27,9,9
cityscapes,frankfurt_000000_005898,/Users/qbit-glitch/Desktop/datasets/cityscapes/leftImg8bit/val/frankfurt/frankfurt_000000_005898_leftImg8bit.png,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results/cityscapes/frankfurt_000000_005898,cityscapes27,14,13
cityscapes,munster_000053_000019,/Users/qbit-glitch/Desktop/datasets/cityscapes/leftImg8bit/val/munster/munster_000053_000019_leftImg8bit.png,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results/cityscapes/munster_000053_000019,cityscapes27,5,14
cityscapes,frankfurt_000001_037705,/Users/qbit-glitch/Desktop/datasets/cityscapes/leftImg8bit/val/frankfurt/frankfurt_000001_037705_leftImg8bit.png,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results/cityscapes/frankfurt_000001_037705,cityscapes27,14,15
cityscapes,frankfurt_000001_029600,/Users/qbit-glitch/Desktop/datasets/cityscapes/leftImg8bit/val/frankfurt/frankfurt_000001_029600_leftImg8bit.png,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results/cityscapes/frankfurt_000001_029600,cityscapes27,28,7
cityscapes,frankfurt_000001_024927,/Users/qbit-glitch/Desktop/datasets/cityscapes/leftImg8bit/val/frankfurt/frankfurt_000001_024927_leftImg8bit.png,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results/cityscapes/frankfurt_000001_024927,cityscapes27,9,12
cityscapes,frankfurt_000001_009058,/Users/qbit-glitch/Desktop/datasets/cityscapes/leftImg8bit/val/frankfurt/frankfurt_000001_009058_leftImg8bit.png,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results/cityscapes/frankfurt_000001_009058,cityscapes27,15,9
cityscapes,munster_000051_000019,/Users/qbit-glitch/Desktop/datasets/cityscapes/leftImg8bit/val/munster/munster_000051_000019_leftImg8bit.png,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results/cityscapes/munster_000051_000019,cityscapes27,6,17
cityscapes,frankfurt_000001_002512,/Users/qbit-glitch/Desktop/datasets/cityscapes/leftImg8bit/val/frankfurt/frankfurt_000001_002512_leftImg8bit.png,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results/cityscapes/frankfurt_000001_002512,cityscapes27,4,9
cityscapes,munster_000020_000019,/Users/qbit-glitch/Desktop/datasets/cityscapes/leftImg8bit/val/munster/munster_000020_000019_leftImg8bit.png,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results/cityscapes/munster_000020_000019,cityscapes27,5,18
cityscapes,munster_000130_000019,/Users/qbit-glitch/Desktop/datasets/cityscapes/leftImg8bit/val/munster/munster_000130_000019_leftImg8bit.png,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results/cityscapes/munster_000130_000019,cityscapes27,31,12
cityscapes,lindau_000012_000019,/Users/qbit-glitch/Desktop/datasets/cityscapes/leftImg8bit/val/lindau/lindau_000012_000019_leftImg8bit.png,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results/cityscapes/lindau_000012_000019,cityscapes27,14,5
cityscapes,frankfurt_000000_020321,/Users/qbit-glitch/Desktop/datasets/cityscapes/leftImg8bit/val/frankfurt/frankfurt_000000_020321_leftImg8bit.png,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results/cityscapes/frankfurt_000000_020321,cityscapes27,6,20
cityscapes,lindau_000035_000019,/Users/qbit-glitch/Desktop/datasets/cityscapes/leftImg8bit/val/lindau/lindau_000035_000019_leftImg8bit.png,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results/cityscapes/lindau_000035_000019,cityscapes27,11,6
cityscapes,frankfurt_000001_062509,/Users/qbit-glitch/Desktop/datasets/cityscapes/leftImg8bit/val/frankfurt/frankfurt_000001_062509_leftImg8bit.png,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results/cityscapes/frankfurt_000001_062509,cityscapes27,4,19
cityscapes,frankfurt_000000_008451,/Users/qbit-glitch/Desktop/datasets/cityscapes/leftImg8bit/val/frankfurt/frankfurt_000000_008451_leftImg8bit.png,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results/cityscapes/frankfurt_000000_008451,cityscapes27,7,15
cityscapes,frankfurt_000000_008206,/Users/qbit-glitch/Desktop/datasets/cityscapes/leftImg8bit/val/frankfurt/frankfurt_000000_008206_leftImg8bit.png,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results/cityscapes/frankfurt_000000_008206,cityscapes27,12,12
cityscapes,frankfurt_000000_021879,/Users/qbit-glitch/Desktop/datasets/cityscapes/leftImg8bit/val/frankfurt/frankfurt_000000_021879_leftImg8bit.png,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results/cityscapes/frankfurt_000000_021879,cityscapes27,19,9
cityscapes,frankfurt_000001_023235,/Users/qbit-glitch/Desktop/datasets/cityscapes/leftImg8bit/val/frankfurt/frankfurt_000001_023235_leftImg8bit.png,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results/cityscapes/frankfurt_000001_023235,cityscapes27,4,8
kitti,000163_10,/Users/qbit-glitch/Desktop/datasets/kitti_panoptic/validation/images/000163_10.png,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results/kitti/000163_10,cityscapes27,8,6
kitti,000028_10,/Users/qbit-glitch/Desktop/datasets/kitti_panoptic/validation/images/000028_10.png,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results/kitti/000028_10,cityscapes27,9,4
kitti,000006_10,/Users/qbit-glitch/Desktop/datasets/kitti_panoptic/validation/images/000006_10.png,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results/kitti/000006_10,cityscapes27,5,10
kitti,000189_10,/Users/qbit-glitch/Desktop/datasets/kitti_panoptic/validation/images/000189_10.png,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results/kitti/000189_10,cityscapes27,2,3
kitti,000070_10,/Users/qbit-glitch/Desktop/datasets/kitti_panoptic/validation/images/000070_10.png,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results/kitti/000070_10,cityscapes27,1,4
kitti,000062_10,/Users/qbit-glitch/Desktop/datasets/kitti_panoptic/validation/images/000062_10.png,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results/kitti/000062_10,cityscapes27,4,3
kitti,000057_10,/Users/qbit-glitch/Desktop/datasets/kitti_panoptic/validation/images/000057_10.png,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results/kitti/000057_10,cityscapes27,23,4
kitti,000035_10,/Users/qbit-glitch/Desktop/datasets/kitti_panoptic/validation/images/000035_10.png,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results/kitti/000035_10,cityscapes27,12,8
kitti,000188_10,/Users/qbit-glitch/Desktop/datasets/kitti_panoptic/validation/images/000188_10.png,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results/kitti/000188_10,cityscapes27,1,5
kitti,000026_10,/Users/qbit-glitch/Desktop/datasets/kitti_panoptic/validation/images/000026_10.png,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results/kitti/000026_10,cityscapes27,8,5
kitti,000173_10,/Users/qbit-glitch/Desktop/datasets/kitti_panoptic/validation/images/000173_10.png,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results/kitti/000173_10,cityscapes27,2,6
kitti,000139_10,/Users/qbit-glitch/Desktop/datasets/kitti_panoptic/validation/images/000139_10.png,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results/kitti/000139_10,cityscapes27,10,15
kitti,000022_10,/Users/qbit-glitch/Desktop/datasets/kitti_panoptic/validation/images/000022_10.png,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results/kitti/000022_10,cityscapes27,14,4
kitti,000151_10,/Users/qbit-glitch/Desktop/datasets/kitti_panoptic/validation/images/000151_10.png,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results/kitti/000151_10,cityscapes27,10,13
kitti,000108_10,/Users/qbit-glitch/Desktop/datasets/kitti_panoptic/validation/images/000108_10.png,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results/kitti/000108_10,cityscapes27,9,7
kitti,000008_10,/Users/qbit-glitch/Desktop/datasets/kitti_panoptic/validation/images/000008_10.png,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results/kitti/000008_10,cityscapes27,12,9
kitti,000007_10,/Users/qbit-glitch/Desktop/datasets/kitti_panoptic/validation/images/000007_10.png,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results/kitti/000007_10,cityscapes27,8,6
kitti,000023_10,/Users/qbit-glitch/Desktop/datasets/kitti_panoptic/validation/images/000023_10.png,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results/kitti/000023_10,cityscapes27,20,6
kitti,000055_10,/Users/qbit-glitch/Desktop/datasets/kitti_panoptic/validation/images/000055_10.png,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results/kitti/000055_10,cityscapes27,11,2
kitti,000059_10,/Users/qbit-glitch/Desktop/datasets/kitti_panoptic/validation/images/000059_10.png,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results/kitti/000059_10,cityscapes27,6,5
mapillary,d3ghAvxTua9rUlqHUM9vFw,/Users/qbit-glitch/Desktop/datasets/mapillary-vistas-v2/validation/images/d3ghAvxTua9rUlqHUM9vFw.jpg,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results/mapillary/d3ghAvxTua9rUlqHUM9vFw,cityscapes27,0,1
mapillary,5xqPuHG6QKItjD6wjqR8vw,/Users/qbit-glitch/Desktop/datasets/mapillary-vistas-v2/validation/images/5xqPuHG6QKItjD6wjqR8vw.jpg,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results/mapillary/5xqPuHG6QKItjD6wjqR8vw,cityscapes27,4,11
mapillary,0nQvP02UmANiaFb9Vp9vVg,/Users/qbit-glitch/Desktop/datasets/mapillary-vistas-v2/validation/images/0nQvP02UmANiaFb9Vp9vVg.jpg,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results/mapillary/0nQvP02UmANiaFb9Vp9vVg,cityscapes27,24,9
mapillary,k2SFNqIK6sRuNnTxZz0gBA,/Users/qbit-glitch/Desktop/datasets/mapillary-vistas-v2/validation/images/k2SFNqIK6sRuNnTxZz0gBA.jpg,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results/mapillary/k2SFNqIK6sRuNnTxZz0gBA,cityscapes27,3,5
mapillary,GGUNXO7RgSSoMF68AVH7ig,/Users/qbit-glitch/Desktop/datasets/mapillary-vistas-v2/validation/images/GGUNXO7RgSSoMF68AVH7ig.jpg,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results/mapillary/GGUNXO7RgSSoMF68AVH7ig,cityscapes27,13,8
mapillary,ENVNwtVUmOeFjunk2o4fqA,/Users/qbit-glitch/Desktop/datasets/mapillary-vistas-v2/validation/images/ENVNwtVUmOeFjunk2o4fqA.jpg,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results/mapillary/ENVNwtVUmOeFjunk2o4fqA,cityscapes27,0,8
mapillary,D4J8uMZ4OdmebvfK50aRpA,/Users/qbit-glitch/Desktop/datasets/mapillary-vistas-v2/validation/images/D4J8uMZ4OdmebvfK50aRpA.jpg,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results/mapillary/D4J8uMZ4OdmebvfK50aRpA,cityscapes27,12,11
mapillary,7Ka8N_9cpYWVCPetl4e-FA,/Users/qbit-glitch/Desktop/datasets/mapillary-vistas-v2/validation/images/7Ka8N_9cpYWVCPetl4e-FA.jpg,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results/mapillary/7Ka8N_9cpYWVCPetl4e-FA,cityscapes27,25,5
mapillary,jqh8xIPwEZiRmWEwY9ZVaA,/Users/qbit-glitch/Desktop/datasets/mapillary-vistas-v2/validation/images/jqh8xIPwEZiRmWEwY9ZVaA.jpg,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results/mapillary/jqh8xIPwEZiRmWEwY9ZVaA,cityscapes27,1,9
mapillary,5LRe9RUcFizhbTcuvAbQBg,/Users/qbit-glitch/Desktop/datasets/mapillary-vistas-v2/validation/images/5LRe9RUcFizhbTcuvAbQBg.jpg,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results/mapillary/5LRe9RUcFizhbTcuvAbQBg,cityscapes27,5,11
mapillary,fiRcqW60mMHlzpDHL05VAA,/Users/qbit-glitch/Desktop/datasets/mapillary-vistas-v2/validation/images/fiRcqW60mMHlzpDHL05VAA.jpg,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results/mapillary/fiRcqW60mMHlzpDHL05VAA,cityscapes27,10,10
