dataset,image_id,source_path,output_dir,semantic_mapping,ours_num_thing_instances,cups_num_thing_instances,status
mapillary,d3ghAvxTua9rUlqHUM9vFw,/Users/qbit-glitch/Desktop/datasets/mapillary-vistas-v2/validation/images/d3ghAvxTua9rUlqHUM9vFw.jpg,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results_filled/mapillary/d3ghAvxTua9rUlqHUM9vFw,cityscapes27,4,2,ok
mapillary,5xqPuHG6QKItjD6wjqR8vw,/Users/qbit-glitch/Desktop/datasets/mapillary-vistas-v2/validation/images/5xqPuHG6QKItjD6wjqR8vw.jpg,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results_filled/mapillary/5xqPuHG6QKItjD6wjqR8vw,cityscapes27,3,12,ok
mapillary,0nQvP02UmANiaFb9Vp9vVg,/Users/qbit-glitch/Desktop/datasets/mapillary-vistas-v2/validation/images/0nQvP02UmANiaFb9Vp9vVg.jpg,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results_filled/mapillary/0nQvP02UmANiaFb9Vp9vVg,cityscapes27,8,8,ok
mapillary,k2SFNqIK6sRuNnTxZz0gBA,/Users/qbit-glitch/Desktop/datasets/mapillary-vistas-v2/validation/images/k2SFNqIK6sRuNnTxZz0gBA.jpg,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results_filled/mapillary/k2SFNqIK6sRuNnTxZz0gBA,cityscapes27,4,5,ok
mapillary,GGUNXO7RgSSoMF68AVH7ig,/Users/qbit-glitch/Desktop/datasets/mapillary-vistas-v2/validation/images/GGUNXO7RgSSoMF68AVH7ig.jpg,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results_filled/mapillary/GGUNXO7RgSSoMF68AVH7ig,cityscapes27,16,8,ok
mapillary,ENVNwtVUmOeFjunk2o4fqA,/Users/qbit-glitch/Desktop/datasets/mapillary-vistas-v2/validation/images/ENVNwtVUmOeFjunk2o4fqA.jpg,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results_filled/mapillary/ENVNwtVUmOeFjunk2o4fqA,cityscapes27,1,10,ok
mapillary,D4J8uMZ4OdmebvfK50aRpA,/Users/qbit-glitch/Desktop/datasets/mapillary-vistas-v2/validation/images/D4J8uMZ4OdmebvfK50aRpA.jpg,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results_filled/mapillary/D4J8uMZ4OdmebvfK50aRpA,cityscapes27,19,11,ok
mapillary,7Ka8N_9cpYWVCPetl4e-FA,/Users/qbit-glitch/Desktop/datasets/mapillary-vistas-v2/validation/images/7Ka8N_9cpYWVCPetl4e-FA.jpg,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results_filled/mapillary/7Ka8N_9cpYWVCPetl4e-FA,cityscapes27,4,4,ok
mapillary,jqh8xIPwEZiRmWEwY9ZVaA,/Users/qbit-glitch/Desktop/datasets/mapillary-vistas-v2/validation/images/jqh8xIPwEZiRmWEwY9ZVaA.jpg,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results_filled/mapillary/jqh8xIPwEZiRmWEwY9ZVaA,cityscapes27,12,9,ok
mapillary,5LRe9RUcFizhbTcuvAbQBg,/Users/qbit-glitch/Desktop/datasets/mapillary-vistas-v2/validation/images/5LRe9RUcFizhbTcuvAbQBg.jpg,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results_filled/mapillary/5LRe9RUcFizhbTcuvAbQBg,cityscapes27,16,11,ok
mapillary,fiRcqW60mMHlzpDHL05VAA,/Users/qbit-glitch/Desktop/datasets/mapillary-vistas-v2/validation/images/fiRcqW60mMHlzpDHL05VAA.jpg,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results_filled/mapillary/fiRcqW60mMHlzpDHL05VAA,cityscapes27,9,9,ok
mapillary,k0Ey_K2TwNo5cSOFY_aXrw,/Users/qbit-glitch/Desktop/datasets/mapillary-vistas-v2/validation/images/k0Ey_K2TwNo5cSOFY_aXrw.jpg,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results_filled/mapillary/k0Ey_K2TwNo5cSOFY_aXrw,cityscapes27,14,13,ok
mapillary,uMwBwpfHHKQ6so9ljmWn8Q,/Users/qbit-glitch/Desktop/datasets/mapillary-vistas-v2/validation/images/uMwBwpfHHKQ6so9ljmWn8Q.jpg,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results_filled/mapillary/uMwBwpfHHKQ6so9ljmWn8Q,cityscapes27,7,14,ok
mapillary,YeZFyPEBvfgTck26qeSecg,/Users/qbit-glitch/Desktop/datasets/mapillary-vistas-v2/validation/images/YeZFyPEBvfgTck26qeSecg.jpg,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results_filled/mapillary/YeZFyPEBvfgTck26qeSecg,cityscapes27,15,4,ok
mapillary,4XNyiO49GE1W6chmXeP3ig,/Users/qbit-glitch/Desktop/datasets/mapillary-vistas-v2/validation/images/4XNyiO49GE1W6chmXeP3ig.jpg,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results_filled/mapillary/4XNyiO49GE1W6chmXeP3ig,cityscapes27,11,8,ok
mapillary,aQO9K3GrRGfsPZ9pGK1E2Q,/Users/qbit-glitch/Desktop/datasets/mapillary-vistas-v2/validation/images/aQO9K3GrRGfsPZ9pGK1E2Q.jpg,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results_filled/mapillary/aQO9K3GrRGfsPZ9pGK1E2Q,cityscapes27,25,11,ok
mapillary,PxmqFeA1n_avfakO17JaZg,/Users/qbit-glitch/Desktop/datasets/mapillary-vistas-v2/validation/images/PxmqFeA1n_avfakO17JaZg.jpg,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results_filled/mapillary/PxmqFeA1n_avfakO17JaZg,cityscapes27,14,15,ok
mapillary,1Q7hEw4K52MUqo3W8-ygoA,/Users/qbit-glitch/Desktop/datasets/mapillary-vistas-v2/validation/images/1Q7hEw4K52MUqo3W8-ygoA.jpg,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results_filled/mapillary/1Q7hEw4K52MUqo3W8-ygoA,cityscapes27,10,12,ok
mapillary,1MoFjt8lFydFWvuKu_jOWQ,/Users/qbit-glitch/Desktop/datasets/mapillary-vistas-v2/validation/images/1MoFjt8lFydFWvuKu_jOWQ.jpg,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results_filled/mapillary/1MoFjt8lFydFWvuKu_jOWQ,cityscapes27,6,2,ok
mapillary,4qt-NFSSchuE6tJw5juVSQ,/Users/qbit-glitch/Desktop/datasets/mapillary-vistas-v2/validation/images/4qt-NFSSchuE6tJw5juVSQ.jpg,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results_filled/mapillary/4qt-NFSSchuE6tJw5juVSQ,cityscapes27,6,9,ok
waymo,14081240615915270380_4399_000_4419_000_1518657497113004_cam5_image,/Volumes/code_files/datasets/panoptic_segmentation_datasets/waymo_v2_0_1_preprocessed/validation/14081240615915270380_4399_000_4419_000/1518657497113004_cam5_image.jpg,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results_filled/waymo/14081240615915270380_4399_000_4419_000_1518657497113004_cam5_image,cityscapes27,1,2,ok
waymo,1024360143612057520_3580_000_3600_000_1553735869659406_cam5_image,/Volumes/code_files/datasets/panoptic_segmentation_datasets/waymo_v2_0_1_preprocessed/validation/1024360143612057520_3580_000_3600_000/1553735869659406_cam5_image.jpg,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results_filled/waymo/1024360143612057520_3580_000_3600_000_1553735869659406_cam5_image,cityscapes27,44,13,ok
waymo,4759225533437988401_800_000_820_000_1557276806597455_cam2_image,/Volumes/code_files/datasets/panoptic_segmentation_datasets/waymo_v2_0_1_preprocessed/validation/4759225533437988401_800_000_820_000/1557276806597455_cam2_image.jpg,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results_filled/waymo/4759225533437988401_800_000_820_000_1557276806597455_cam2_image,cityscapes27,11,3,ok
waymo,4575389405178805994_4900_000_4920_000_1544724528697577_cam3_image,/Volumes/code_files/datasets/panoptic_segmentation_datasets/waymo_v2_0_1_preprocessed/validation/4575389405178805994_4900_000_4920_000/1544724528697577_cam3_image.jpg,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results_filled/waymo/4575389405178805994_4900_000_4920_000_1544724528697577_cam3_image,cityscapes27,19,8,ok
waymo,2094681306939952000_2972_300_2992_300_1507658577595180_cam3_image,/Volumes/code_files/datasets/panoptic_segmentation_datasets/waymo_v2_0_1_preprocessed/validation/2094681306939952000_2972_300_2992_300/1507658577595180_cam3_image.jpg,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results_filled/waymo/2094681306939952000_2972_300_2992_300_1507658577595180_cam3_image,cityscapes27,14,16,ok
waymo,17694030326265859208_2340_000_2360_000_1557197732148511_cam2_image,/Volumes/code_files/datasets/panoptic_segmentation_datasets/waymo_v2_0_1_preprocessed/validation/17694030326265859208_2340_000_2360_000/1557197732148511_cam2_image.jpg,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results_filled/waymo/17694030326265859208_2340_000_2360_000_1557197732148511_cam2_image,cityscapes27,11,11,ok
waymo,13982731384839979987_1680_000_1700_000_1553744736724033_cam5_image,/Volumes/code_files/datasets/panoptic_segmentation_datasets/waymo_v2_0_1_preprocessed/validation/13982731384839979987_1680_000_1700_000/1553744736724033_cam5_image.jpg,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results_filled/waymo/13982731384839979987_1680_000_1700_000_1553744736724033_cam5_image,cityscapes27,1,1,ok
waymo,9243656068381062947_1297_428_1317_428_1508793809111496_cam1_image,/Volumes/code_files/datasets/panoptic_segmentation_datasets/waymo_v2_0_1_preprocessed/validation/9243656068381062947_1297_428_1317_428/1508793809111496_cam1_image.jpg,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results_filled/waymo/9243656068381062947_1297_428_1317_428_1508793809111496_cam1_image,cityscapes27,33,13,ok
waymo,12831741023324393102_2673_230_2693_230_1508975625799296_cam5_image,/Volumes/code_files/datasets/panoptic_segmentation_datasets/waymo_v2_0_1_preprocessed/validation/12831741023324393102_2673_230_2693_230/1508975625799296_cam5_image.jpg,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results_filled/waymo/12831741023324393102_2673_230_2693_230_1508975625799296_cam5_image,cityscapes27,0,2,ok
waymo,7932945205197754811_780_000_800_000_1552691905348838_cam3_image,/Volumes/code_files/datasets/panoptic_segmentation_datasets/waymo_v2_0_1_preprocessed/validation/7932945205197754811_780_000_800_000/1552691905348838_cam3_image.jpg,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results_filled/waymo/7932945205197754811_780_000_800_000_1552691905348838_cam3_image,cityscapes27,0,0,ok
waymo,11048712972908676520_545_000_565_000_1522684692338302_cam1_image,/Volumes/code_files/datasets/panoptic_segmentation_datasets/waymo_v2_0_1_preprocessed/validation/11048712972908676520_545_000_565_000/1522684692338302_cam1_image.jpg,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results_filled/waymo/11048712972908676520_545_000_565_000_1522684692338302_cam1_image,cityscapes27,2,9,ok
waymo,1024360143612057520_3580_000_3600_000_1553735872838329_cam4_image,/Volumes/code_files/datasets/panoptic_segmentation_datasets/waymo_v2_0_1_preprocessed/validation/1024360143612057520_3580_000_3600_000/1553735872838329_cam4_image.jpg,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results_filled/waymo/1024360143612057520_3580_000_3600_000_1553735872838329_cam4_image,cityscapes27,10,16,ok
waymo,13982731384839979987_1680_000_1700_000_1553744730524089_cam1_image,/Volumes/code_files/datasets/panoptic_segmentation_datasets/waymo_v2_0_1_preprocessed/validation/13982731384839979987_1680_000_1700_000/1553744730524089_cam1_image.jpg,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results_filled/waymo/13982731384839979987_1680_000_1700_000_1553744730524089_cam1_image,cityscapes27,50,2,ok
waymo,2094681306939952000_2972_300_2992_300_1507658574595476_cam3_image,/Volumes/code_files/datasets/panoptic_segmentation_datasets/waymo_v2_0_1_preprocessed/validation/2094681306939952000_2972_300_2992_300/1507658574595476_cam3_image.jpg,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results_filled/waymo/2094681306939952000_2972_300_2992_300_1507658574595476_cam3_image,cityscapes27,21,16,ok
waymo,4575389405178805994_4900_000_4920_000_1544724520697400_cam2_image,/Volumes/code_files/datasets/panoptic_segmentation_datasets/waymo_v2_0_1_preprocessed/validation/4575389405178805994_4900_000_4920_000/1544724520697400_cam2_image.jpg,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results_filled/waymo/4575389405178805994_4900_000_4920_000_1544724520697400_cam2_image,cityscapes27,22,12,ok
waymo,8956556778987472864_3404_790_3424_790_1513450825606540_cam5_image,/Volumes/code_files/datasets/panoptic_segmentation_datasets/waymo_v2_0_1_preprocessed/validation/8956556778987472864_3404_790_3424_790/1513450825606540_cam5_image.jpg,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results_filled/waymo/8956556778987472864_3404_790_3424_790_1513450825606540_cam5_image,cityscapes27,0,0,ok
waymo,1024360143612057520_3580_000_3600_000_1553735870653287_cam5_image,/Volumes/code_files/datasets/panoptic_segmentation_datasets/waymo_v2_0_1_preprocessed/validation/1024360143612057520_3580_000_3600_000/1553735870653287_cam5_image.jpg,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results_filled/waymo/1024360143612057520_3580_000_3600_000_1553735870653287_cam5_image,cityscapes27,2,2,ok
waymo,933621182106051783_4160_000_4180_000_1543516671972707_cam1_image,/Volumes/code_files/datasets/panoptic_segmentation_datasets/waymo_v2_0_1_preprocessed/validation/933621182106051783_4160_000_4180_000/1543516671972707_cam1_image.jpg,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results_filled/waymo/933621182106051783_4160_000_4180_000_1543516671972707_cam1_image,cityscapes27,8,17,ok
waymo,2094681306939952000_2972_300_2992_300_1507658561595295_cam3_image,/Volumes/code_files/datasets/panoptic_segmentation_datasets/waymo_v2_0_1_preprocessed/validation/2094681306939952000_2972_300_2992_300/1507658561595295_cam3_image.jpg,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results_filled/waymo/2094681306939952000_2972_300_2992_300_1507658561595295_cam3_image,cityscapes27,15,8,ok
waymo,9243656068381062947_1297_428_1317_428_1508793808711324_cam4_image,/Volumes/code_files/datasets/panoptic_segmentation_datasets/waymo_v2_0_1_preprocessed/validation/9243656068381062947_1297_428_1317_428/1508793808711324_cam4_image.jpg,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results_filled/waymo/9243656068381062947_1297_428_1317_428_1508793808711324_cam4_image,cityscapes27,0,0,ok
