dataset,image_id,source_path,output_dir,semantic_mapping,ours_num_thing_instances,cups_num_thing_instances,status
kitti,000163_10,/Users/qbit-glitch/Desktop/datasets/kitti_panoptic/validation/images/000163_10.png,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results_fixed/kitti/000163_10,cityscapes27,19,6,ok
kitti,000028_10,/Users/qbit-glitch/Desktop/datasets/kitti_panoptic/validation/images/000028_10.png,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results_fixed/kitti/000028_10,cityscapes27,20,4,ok
kitti,000006_10,/Users/qbit-glitch/Desktop/datasets/kitti_panoptic/validation/images/000006_10.png,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results_fixed/kitti/000006_10,cityscapes27,7,10,ok
kitti,000189_10,/Users/qbit-glitch/Desktop/datasets/kitti_panoptic/validation/images/000189_10.png,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results_fixed/kitti/000189_10,cityscapes27,2,3,ok
kitti,000070_10,/Users/qbit-glitch/Desktop/datasets/kitti_panoptic/validation/images/000070_10.png,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results_fixed/kitti/000070_10,cityscapes27,1,4,ok
kitti,000062_10,/Users/qbit-glitch/Desktop/datasets/kitti_panoptic/validation/images/000062_10.png,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results_fixed/kitti/000062_10,cityscapes27,25,3,ok
kitti,000057_10,/Users/qbit-glitch/Desktop/datasets/kitti_panoptic/validation/images/000057_10.png,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results_fixed/kitti/000057_10,cityscapes27,88,4,ok
kitti,000035_10,/Users/qbit-glitch/Desktop/datasets/kitti_panoptic/validation/images/000035_10.png,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results_fixed/kitti/000035_10,cityscapes27,26,8,ok
kitti,000188_10,/Users/qbit-glitch/Desktop/datasets/kitti_panoptic/validation/images/000188_10.png,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results_fixed/kitti/000188_10,cityscapes27,1,5,ok
kitti,000026_10,/Users/qbit-glitch/Desktop/datasets/kitti_panoptic/validation/images/000026_10.png,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results_fixed/kitti/000026_10,cityscapes27,16,5,ok
kitti,000173_10,/Users/qbit-glitch/Desktop/datasets/kitti_panoptic/validation/images/000173_10.png,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results_fixed/kitti/000173_10,cityscapes27,8,6,ok
kitti,000139_10,/Users/qbit-glitch/Desktop/datasets/kitti_panoptic/validation/images/000139_10.png,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results_fixed/kitti/000139_10,cityscapes27,13,15,ok
kitti,000022_10,/Users/qbit-glitch/Desktop/datasets/kitti_panoptic/validation/images/000022_10.png,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results_fixed/kitti/000022_10,cityscapes27,3,4,ok
kitti,000151_10,/Users/qbit-glitch/Desktop/datasets/kitti_panoptic/validation/images/000151_10.png,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results_fixed/kitti/000151_10,cityscapes27,13,13,ok
kitti,000108_10,/Users/qbit-glitch/Desktop/datasets/kitti_panoptic/validation/images/000108_10.png,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results_fixed/kitti/000108_10,cityscapes27,24,7,ok
kitti,000008_10,/Users/qbit-glitch/Desktop/datasets/kitti_panoptic/validation/images/000008_10.png,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results_fixed/kitti/000008_10,cityscapes27,15,9,ok
kitti,000007_10,/Users/qbit-glitch/Desktop/datasets/kitti_panoptic/validation/images/000007_10.png,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results_fixed/kitti/000007_10,cityscapes27,11,6,ok
kitti,000023_10,/Users/qbit-glitch/Desktop/datasets/kitti_panoptic/validation/images/000023_10.png,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results_fixed/kitti/000023_10,cityscapes27,17,6,ok
kitti,000055_10,/Users/qbit-glitch/Desktop/datasets/kitti_panoptic/validation/images/000055_10.png,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results_fixed/kitti/000055_10,cityscapes27,6,2,ok
kitti,000059_10,/Users/qbit-glitch/Desktop/datasets/kitti_panoptic/validation/images/000059_10.png,/Users/qbit-glitch/Desktop/coding-projects/mbps_panoptic_segmentation/notebooks/qualitative_results_fixed/kitti/000059_10,cityscapes27,16,5,ok
