dataset,image_id,source_path,output_dir,semantic_mapping,ours_num_thing_instances,cups_num_thing_instances,status
cityscapes,munster_000001_000019,/Users/qbit-glitch/Desktop/datasets/cityscapes/leftImg8bit/val/munster/munster_000001_000019_leftImg8bit.png,notebooks/qualitative_results_stage4/cityscapes/munster_000001_000019,cityscapes27,15,10,ok
cityscapes,frankfurt_000001_004327,/Users/qbit-glitch/Desktop/datasets/cityscapes/leftImg8bit/val/frankfurt/frankfurt_000001_004327_leftImg8bit.png,notebooks/qualitative_results_stage4/cityscapes/frankfurt_000001_004327,cityscapes27,34,9,ok
cityscapes,frankfurt_000000_005898,/Users/qbit-glitch/Desktop/datasets/cityscapes/leftImg8bit/val/frankfurt/frankfurt_000000_005898_leftImg8bit.png,notebooks/qualitative_results_stage4/cityscapes/frankfurt_000000_005898,cityscapes27,21,12,ok
cityscapes,munster_000053_000019,/Users/qbit-glitch/Desktop/datasets/cityscapes/leftImg8bit/val/munster/munster_000053_000019_leftImg8bit.png,notebooks/qualitative_results_stage4/cityscapes/munster_000053_000019,cityscapes27,11,17,ok
cityscapes,frankfurt_000001_037705,/Users/qbit-glitch/Desktop/datasets/cityscapes/leftImg8bit/val/frankfurt/frankfurt_000001_037705_leftImg8bit.png,notebooks/qualitative_results_stage4/cityscapes/frankfurt_000001_037705,cityscapes27,20,16,ok
cityscapes,frankfurt_000001_029600,/Users/qbit-glitch/Desktop/datasets/cityscapes/leftImg8bit/val/frankfurt/frankfurt_000001_029600_leftImg8bit.png,notebooks/qualitative_results_stage4/cityscapes/frankfurt_000001_029600,cityscapes27,19,11,ok
cityscapes,frankfurt_000001_024927,/Users/qbit-glitch/Desktop/datasets/cityscapes/leftImg8bit/val/frankfurt/frankfurt_000001_024927_leftImg8bit.png,notebooks/qualitative_results_stage4/cityscapes/frankfurt_000001_024927,cityscapes27,40,16,ok
cityscapes,frankfurt_000001_009058,/Users/qbit-glitch/Desktop/datasets/cityscapes/leftImg8bit/val/frankfurt/frankfurt_000001_009058_leftImg8bit.png,notebooks/qualitative_results_stage4/cityscapes/frankfurt_000001_009058,cityscapes27,4,9,ok
cityscapes,munster_000051_000019,/Users/qbit-glitch/Desktop/datasets/cityscapes/leftImg8bit/val/munster/munster_000051_000019_leftImg8bit.png,notebooks/qualitative_results_stage4/cityscapes/munster_000051_000019,cityscapes27,11,20,ok
cityscapes,frankfurt_000001_002512,/Users/qbit-glitch/Desktop/datasets/cityscapes/leftImg8bit/val/frankfurt/frankfurt_000001_002512_leftImg8bit.png,notebooks/qualitative_results_stage4/cityscapes/frankfurt_000001_002512,cityscapes27,3,9,ok
cityscapes,munster_000020_000019,/Users/qbit-glitch/Desktop/datasets/cityscapes/leftImg8bit/val/munster/munster_000020_000019_leftImg8bit.png,notebooks/qualitative_results_stage4/cityscapes/munster_000020_000019,cityscapes27,17,19,ok
cityscapes,munster_000130_000019,/Users/qbit-glitch/Desktop/datasets/cityscapes/leftImg8bit/val/munster/munster_000130_000019_leftImg8bit.png,notebooks/qualitative_results_stage4/cityscapes/munster_000130_000019,cityscapes27,17,11,ok
cityscapes,lindau_000012_000019,/Users/qbit-glitch/Desktop/datasets/cityscapes/leftImg8bit/val/lindau/lindau_000012_000019_leftImg8bit.png,notebooks/qualitative_results_stage4/cityscapes/lindau_000012_000019,cityscapes27,31,6,ok
cityscapes,frankfurt_000000_020321,/Users/qbit-glitch/Desktop/datasets/cityscapes/leftImg8bit/val/frankfurt/frankfurt_000000_020321_leftImg8bit.png,notebooks/qualitative_results_stage4/cityscapes/frankfurt_000000_020321,cityscapes27,21,18,ok
cityscapes,lindau_000035_000019,/Users/qbit-glitch/Desktop/datasets/cityscapes/leftImg8bit/val/lindau/lindau_000035_000019_leftImg8bit.png,notebooks/qualitative_results_stage4/cityscapes/lindau_000035_000019,cityscapes27,9,6,ok
cityscapes,frankfurt_000001_062509,/Users/qbit-glitch/Desktop/datasets/cityscapes/leftImg8bit/val/frankfurt/frankfurt_000001_062509_leftImg8bit.png,notebooks/qualitative_results_stage4/cityscapes/frankfurt_000001_062509,cityscapes27,5,21,ok
cityscapes,frankfurt_000000_008451,/Users/qbit-glitch/Desktop/datasets/cityscapes/leftImg8bit/val/frankfurt/frankfurt_000000_008451_leftImg8bit.png,notebooks/qualitative_results_stage4/cityscapes/frankfurt_000000_008451,cityscapes27,6,16,ok
cityscapes,frankfurt_000000_008206,/Users/qbit-glitch/Desktop/datasets/cityscapes/leftImg8bit/val/frankfurt/frankfurt_000000_008206_leftImg8bit.png,notebooks/qualitative_results_stage4/cityscapes/frankfurt_000000_008206,cityscapes27,52,11,ok
cityscapes,frankfurt_000000_021879,/Users/qbit-glitch/Desktop/datasets/cityscapes/leftImg8bit/val/frankfurt/frankfurt_000000_021879_leftImg8bit.png,notebooks/qualitative_results_stage4/cityscapes/frankfurt_000000_021879,cityscapes27,18,12,ok
cityscapes,frankfurt_000001_023235,/Users/qbit-glitch/Desktop/datasets/cityscapes/leftImg8bit/val/frankfurt/frankfurt_000001_023235_leftImg8bit.png,notebooks/qualitative_results_stage4/cityscapes/frankfurt_000001_023235,cityscapes27,11,7,ok
