class,cause,depthg_mono,depthg_official
road,96.08,87.63,87.94
sidewalk,50.69,20.95,17.76
parking,0.0,0.06,1.83
rail track,0.0,0.96,1.3
building,75.31,69.24,67.6
wall,26.62,0.02,17.03
fence,0.0,3.58,4.7
guard rail,0.0,0.0,0.0
bridge,44.56,0.02,2.94
tunnel,0.0,0.0,0.0
pole,0.0,7.9,13.73
polegroup,0.0,0.0,0.3
traffic light,0.0,0.0,14.75
traffic sign,0.0,19.66,28.7
vegetation,82.81,66.07,84.37
terrain,40.25,0.51,25.04
sky,91.45,0.0,87.58
person,50.11,42.3,51.94
rider,0.0,0.0,0.12
car,73.25,63.26,57.41
truck,68.23,3.6,3.99
bus,53.96,10.3,9.19
caravan,0.0,0.0,1.24
trailer,0.0,0.0,0.0
train,0.0,0.0,1.17
motorcycle,0.0,0.0,0.0
bicycle,21.73,19.1,19.81
