tau,A_min,n_images,instances_per_image,positive_pairs,negative_same_class_pairs,over_split_noise_pairs,over_split_noise_rate_pct,over_split_noise_pairs_per_image,under_merge_noise_pairs,under_merge_noise_rate_pct,under_merge_noise_pairs_per_image,affinity_noise_rate_pct,affinity_noise_pairs_per_image,positive_feature_sim_mean,negative_same_class_feature_sim_mean,positive_depth_delta_mean,negative_same_class_depth_delta_mean
0.1,500,50,17.5,10531,3699,2476,66.93701000270343,49.52,39,0.37033520083562815,0.78,17.673928320449754,50.3,0.927131529434399,0.8965711065097962,0.00787393430548763,0.010419723214483416
0.1,1000,50,15.06,10547,3659,2453,67.04017491117791,49.06,39,0.3697733952782782,0.78,17.54188371110798,49.84,0.9271089850392535,0.8964716931385042,0.007882965609256075,0.010427936990996077
0.1,2000,50,12.0,10557,3548,2394,67.47463359639234,47.88,40,0.3788955195604812,0.8,17.256292095001772,48.68,0.9268792202902459,0.8972090190568395,0.007990120525387265,0.010184337529894531
0.15,500,50,16.88,10607,3623,2467,68.09274082252277,49.34,40,0.3771094560196097,0.8,17.617709065354884,50.14,0.9267917514532914,0.8969248081484191,0.008089000648223871,0.009843479994126127
0.15,1000,50,14.52,10611,3595,2446,68.03894297635605,48.92,40,0.37696729808689095,0.8,17.49964803604111,49.72,0.9268027062286206,0.8968302847447084,0.00808951481962623,0.009863593171302731
0.15,2000,50,11.7,10600,3505,2391,68.21683309557774,47.82,40,0.37735849056603776,0.8,17.235023041474655,48.62,0.9267617040310265,0.897200422195157,0.008089151595596153,0.009911761660336088
0.2,500,50,16.54,10630,3600,2466,68.5,49.32,40,0.37629350893697083,0.8,17.610681658468025,50.12,0.9267103313053989,0.8969744103484684,0.008178777478439059,0.009589598179898328
0.2,1000,50,14.38,10632,3574,2445,68.41074426412983,48.9,40,0.3762227238525207,0.8,17.492608756863298,49.7,0.9267224593997629,0.8968928976971542,0.008177622990329533,0.009611911513015553
0.2,2000,50,11.62,10617,3499,2395,68.44812803658188,47.9,40,0.37675426203258927,0.8,17.249929158401812,48.7,0.9266839623395092,0.897328479200065,0.008182060058917535,0.009684071927479112
0.25,500,50,16.5,10633,3597,2466,68.55713094245205,49.32,40,0.37618734129596537,0.8,17.610681658468025,50.12,0.9267098740083775,0.8969509615512368,0.008191819906656565,0.00955222042167157
0.25,1000,50,14.36,10635,3571,2445,68.46821618594231,48.9,40,0.3761165961448049,0.8,17.492608756863298,49.7,0.9267219987675569,0.8968692096933468,0.00819066329147679,0.009574280357501047
0.25,2000,50,11.62,10619,3497,2395,68.48727480697741,47.9,40,0.3766833035125718,0.8,17.249929158401812,48.7,0.9266892727827529,0.897295561268359,0.008195710143495195,0.009643481062682042
0.3,500,50,16.5,10632,3598,2466,68.53807670928293,49.32,40,0.3762227238525207,0.8,17.610681658468025,50.12,0.9267040254636489,0.896976516934618,0.008192137057701668,0.009550905182311574
0.3,1000,50,14.38,10634,3572,2445,68.44904815229563,48.9,40,0.3761519653940192,0.8,17.492608756863298,49.7,0.9267161524629871,0.8968949739770152,0.00819098027410763,0.009572949368936351
0.3,2000,50,11.62,10619,3497,2395,68.48727480697741,47.9,40,0.3766833035125718,0.8,17.249929158401812,48.7,0.9266892727827529,0.897295561268359,0.008195710143495195,0.009643481062682042
