tau,A_min,n_images,instances_per_image,eligible_pairs,pseudo_boundaries,consensus_boundaries,unsupported_split_pairs,unsupported_split_rate_pct,unsupported_split_pairs_per_image,missed_boundary_pairs,missed_boundary_rate_pct,missed_boundary_pairs_per_image,boundary_noise_pairs,boundary_noise_pairs_per_image,boundary_noise_rate_pct
0.1,500,47,18.48936170212766,14228,3698,2945,2615,70.71389940508382,55.638297872340424,1862,63.225806451612904,39.61702127659574,4477,95.25531914893617,31.4661231374754
0.1,1000,47,15.957446808510639,14204,3658,2943,2582,70.58501913613996,54.93617021276596,1867,63.438668025823986,39.723404255319146,4449,94.65957446808511,31.322162771050408
0.1,2000,47,12.76595744680851,14105,3548,2914,2517,70.94137542277339,53.5531914893617,1883,64.6190803019904,40.06382978723404,4400,93.61702127659575,31.19461183977313
0.15,500,47,17.829787234042552,14228,3622,2945,2580,71.23136388735506,54.8936170212766,1903,64.61799660441426,40.48936170212766,4483,95.38297872340425,31.508293505763284
0.15,1000,47,15.382978723404255,14204,3594,2943,2554,71.06288258208124,54.340425531914896,1903,64.66190961603806,40.48936170212766,4457,94.82978723404256,31.378484933821458
0.15,2000,47,12.446808510638299,14105,3505,2914,2496,71.21255349500713,53.1063829787234,1905,65.37405628002746,40.53191489361702,4401,93.63829787234043,31.201701524282168
0.2,500,47,17.46808510638298,14228,3599,2945,2569,71.38093914976382,54.659574468085104,1915,65.02546689303905,40.744680851063826,4484,95.40425531914893,31.515321900477932
0.2,1000,47,15.23404255319149,14204,3573,2943,2545,71.22865938986845,54.148936170212764,1915,65.06965681277607,40.744680851063826,4460,94.8936170212766,31.3996057448606
0.2,2000,47,12.361702127659575,14116,3499,2918,2498,71.39182623606744,53.148936170212764,1917,65.69568197395476,40.787234042553195,4415,93.93617021276596,31.27656559931992
0.25,500,47,17.425531914893618,14228,3596,2945,2567,71.38487208008898,54.61702127659574,1916,65.05942275042445,40.765957446808514,4483,95.38297872340425,31.508293505763284
0.25,1000,47,15.212765957446809,14204,3570,2943,2543,71.23249299719888,54.1063829787234,1916,65.10363574583758,40.765957446808514,4459,94.87234042553192,31.39256547451422
0.25,2000,47,12.361702127659575,14116,3497,2918,2496,71.37546468401487,53.1063829787234,1917,65.69568197395476,40.787234042553195,4413,93.8936170212766,31.26239727968263
0.3,500,47,17.425531914893618,14228,3597,2945,2568,71.39282735613011,54.638297872340424,1916,65.05942275042445,40.765957446808514,4484,95.40425531914893,31.515321900477932
0.3,1000,47,15.23404255319149,14204,3571,2943,2544,71.2405488658639,54.12765957446808,1916,65.10363574583758,40.765957446808514,4460,94.8936170212766,31.3996057448606
0.3,2000,47,12.361702127659575,14116,3497,2918,2496,71.37546468401487,53.1063829787234,1917,65.69568197395476,40.787234042553195,4413,93.8936170212766,31.26239727968263
