tau,A_min,n_images,instances_per_image,positive_pairs,negative_same_class_pairs,over_split_noise_pairs,over_split_noise_rate_pct,over_split_noise_pairs_per_image,under_merge_noise_pairs,under_merge_noise_rate_pct,under_merge_noise_pairs_per_image,affinity_noise_rate_pct,affinity_noise_pairs_per_image,positive_feature_sim_mean,negative_same_class_feature_sim_mean,positive_depth_delta_mean,negative_same_class_depth_delta_mean
0.01,100,2975,46.063529411764705,622724,312625,196463,62.843022790883644,66.03798319327731,4784,0.7682376140954902,1.6080672268907563,21.515712317006805,67.64605042016807,0.9280603907152849,0.897698426437111,0.008111022615741583,0.014915477261268965
0.01,200,2975,39.25949579831933,627375,307852,194139,63.062445590738406,65.25680672268908,4983,0.7942618051404662,1.6749579831932773,21.291301470124367,66.93176470588236,0.9278333909509191,0.8977059335950822,0.008231878903634145,0.014769763518782382
0.01,500,2975,29.377142857142857,638592,295760,188227,63.641804165539625,63.269579831932774,5458,0.8546928242132692,1.8346218487394959,20.72933969210747,65.10420168067228,0.9272021437270089,0.8979751718817754,0.008536397148082676,0.01436348532093563
0.01,1000,2975,21.868235294117646,651798,279468,179997,64.40701618789987,60.50319327731093,6010,0.9220648114906765,2.0201680672268907,19.973562870329207,62.52336134453782,0.926389820861232,0.898659805178255,0.008876958623654988,0.013830810204131736
0.01,1500,2975,17.75126050420168,660118,265324,172896,65.16410124979271,58.1163025210084,6461,0.9787644027279971,2.171764705882353,19.38068512127178,60.28806722689075,0.925792895935919,0.8994567901086125,0.00912144779243254,0.013355447385841816
0.01,2000,2975,15.094453781512605,663821,252584,166374,65.86878028695405,55.92403361344538,6754,1.017442955254504,2.2702521008403362,18.892083740267676,58.19428571428571,0.925424001093197,0.9002709623726011,0.009280824395556312,0.0129194489231287
0.02,100,2975,39.02117647058824,646612,288766,180558,62.527444366719074,60.691764705882356,5063,0.7830043364490606,1.7018487394957984,19.844490676496562,62.39361344537815,0.927044490663,0.8974610788370232,0.008365087309874392,0.014910504034217124
0.02,200,2975,34.0309243697479,649266,286001,179353,62.71061989293744,60.28672268907563,5216,0.8033687271472709,1.7532773109243698,19.734364625288823,62.04,0.9269026417829264,0.8975144203204598,0.008442466690810611,0.014795069766536337
0.02,500,2975,26.467563025210083,656133,278442,176008,63.21172811572967,59.16235294117647,5581,0.8505897432380325,1.875966386554622,19.430115293047642,61.038319327731095,0.9265108237970816,0.897748149029308,0.008648525328453803,0.014472420294737233
0.02,1000,2975,20.562689075630253,664514,267874,171215,63.91624420436474,57.55126050420168,6038,0.9086339791185739,2.029579831932773,19.010647927686758,59.58084033613445,0.9259448693056883,0.8983693913016819,0.0089284838386891,0.013952457713480016
0.02,1500,2975,17.20672268907563,670199,258350,166995,64.63905554480355,56.1327731092437,6457,0.9634451856836551,2.170420168067227,18.6798973452128,58.303193277310925,0.925480868477036,0.8991412371153616,0.00913605097066695,0.013503771897121321
0.02,2000,2975,14.957647058823529,673514,249613,162880,65.25301166205286,54.74957983193277,6782,1.0069575391157422,2.2796638655462185,18.3790529363782,57.02924369747899,0.9251625459047143,0.8998286920582241,0.009301349063493265,0.013104989367851986
0.05,100,2975,30.30252100840336,673640,261743,164728,62.935016409225845,55.37075630252101,5638,0.8369455495516893,1.8951260504201681,18.213501848975234,57.265882352941176,0.9256449969063235,0.8980067180616577,0.00884092455758578,0.014361747858027853
