tau,A_min,n_images,instances_per_image,eligible_pairs,pseudo_boundaries,consensus_boundaries,unsupported_split_pairs,unsupported_split_rate_pct,unsupported_split_pairs_per_image,missed_boundary_pairs,missed_boundary_rate_pct,missed_boundary_pairs_per_image,boundary_noise_pairs,boundary_noise_pairs_per_image,boundary_noise_rate_pct
0.01,100,2838,47.943269908386185,934262,312149,190501,222374,71.23969642702684,78.35588442565187,100726,52.87426312722768,35.491895701198025,323100,113.8477801268499,34.58344661347673
0.01,200,2838,40.86786469344609,934141,307390,190467,219114,71.28208464816683,77.20718816067654,102191,53.65286375067597,36.008104298801975,321305,113.2152924594785,34.395771088090555
0.01,500,2838,30.607470049330516,933292,295372,190190,211146,71.48477174545997,74.39957716701903,105964,55.71481150428519,37.337561663143056,317110,111.73713883016208,33.97757614980092
0.01,1000,2838,22.807610993657505,930308,279201,189214,200698,71.88298036181818,70.71811134601832,110711,58.5109981291025,39.010218463706835,311409,109.72832980972515,33.473752778649654
0.01,1500,2838,18.525722339675827,924583,265158,187380,191660,72.2814322026867,67.53347427766032,113882,60.7759632831679,40.12755461592671,305542,107.66102889358703,33.046465271370984
0.01,2000,2838,15.76215644820296,915653,252487,184670,183313,72.60294589424406,64.592318534179,115496,62.54183137488493,40.69626497533474,298809,105.28858350951374,32.63343209709355
0.02,100,2838,40.60570824524313,934291,288355,190513,205818,71.37660175824938,72.52219873150106,107976,56.676447276563806,38.04651162790697,313794,110.56871035940803,33.586323747098064
0.02,200,2838,35.41508104298802,934181,285602,190478,203999,71.4277210943901,71.88125440451022,108875,57.158831991096086,38.36328400281889,312874,110.2445384073291,33.491796557626415
0.02,500,2838,27.560606060606062,933507,278086,190273,199054,71.58001481556066,70.13883016208598,111241,58.46389135610412,39.196969696969695,310295,109.33579985905567,33.23970789720913
0.02,1000,2838,21.43199436222692,931402,267608,189608,192496,71.93207975845266,67.82804792107117,114496,60.385637736804355,40.343904157857644,306992,108.17195207892883,32.96020407944153
0.02,1500,2838,17.942565186751235,927623,258142,188371,186591,72.28230973650162,65.74735729386892,116820,62.0159154009906,41.16279069767442,303411,106.91014799154334,32.70843866527673
0.02,2000,2838,15.610993657505285,922312,249491,186825,181031,72.56013242962672,63.78823114869626,118365,63.35608189482136,41.70718816067653,299396,105.49541930937279,32.46146640182498
0.05,100,2838,31.52431289640592,934296,261432,190516,188454,72.08528412742128,66.40380549682875,117538,61.694555837829895,41.415785764622974,305992,107.81959126145172,32.7510767465557
0.05,200,2838,28.309372797744892,934214,260225,190496,187664,72.11605341531367,66.12544045102184,117935,61.909436418612465,41.55567300916138,305599,107.68111346018323,32.71188400088202
0.05,500,2838,23.23749119097956,933636,256504,190323,185319,72.24799613261392,65.29915433403805,119138,62.59779427604651,41.97956307258633,304457,107.27871740662438,32.609817959033286
0.05,1000,2838,19.049330514446794,932120,251051,189885,181974,72.48487359142166,64.12050739957716,120808,63.62166574505622,42.568005637773076,302782,106.68851303735025,32.48315667510621
0.05,1500,2838,16.511627906976745,929371,245738,189018,178668,72.7067038878806,62.95560253699789,121948,64.51660688400047,42.96969696969697,300616,105.92529950669486,32.3461782216144
0.05,2000,2838,14.736081747709655,925725,240505,187967,175320,72.89661337602129,61.77589852008457,122782,65.32104039538855,43.263565891472865,298102,105.03946441155743,32.20200383483216
0.1,100,2838,26.4492600422833,934296,246418,190516,179477,72.83437086576468,63.240662438336855,123575,64.86331856641962,43.542988019732206,303052,106.78365045806906,32.43640131178984
0.1,200,2838,24.381606765327696,934224,245884,190502,179142,72.85630622569992,63.12262156448203,123760,64.96519721577727,43.60817477096547,302902,106.7307963354475,32.42284505643186
0.1,500,2838,20.806553911205075,933709,243999,190354,177978,72.94210222173042,62.71247357293869,124333,65.31672567952342,43.810077519379846,302311,106.52255109231854,32.37743236918569
0.1,1000,2838,17.621564482029598,932391,240999,190004,176069,73.05797949369085,62.03981677237491,125074,65.82703522031115,44.07117688513037,301143,106.11099365750529,32.297930803707885
0.1,1500,2838,15.54968287526427,930116,237641,189302,173968,73.20622283191874,61.29950669485553,125629,66.36432789933545,44.26673713883016,299597,105.56624383368569,32.21071350240185
0.1,2000,2838,14.033826638477802,926818,233921,188400,171496,73.31364007506808,60.42847075405215,125975,66.86571125265392,44.38865398167724,297471,104.8171247357294,32.09594548228455
0.2,100,2838,23.537350246652572,934299,237856,190518,174657,73.42972218485134,61.54228329809725,127319,66.82780629651792,44.86222692036645,301976,106.40451021846371,32.32113060165964
0.2,200,2838,22.09090909090909,934227,237612,190504,174503,73.44031446223255,61.48801973220578,127395,66.87261159870658,44.88900634249472,301898,106.3770260747005,32.315272412379436
0.2,500,2838,19.432346723044397,933742,236725,190366,173921,73.46963776533953,61.28294573643411,127562,67.00881459924567,44.94785059901339,301483,106.2307963354475,32.28761263818057
0.2,1000,2838,16.839323467230443,932488,235019,190045,172773,73.51448180785383,60.8784355179704,127799,67.24670472782762,45.031360112755465,300572,105.90979563072587,32.23333705098618
0.2,1500,2838,15.0461592670895,930316,232744,189396,171278,73.5907262915478,60.351656095842145,127930,67.54630509620056,45.07751937984496,299208,105.4291754756871,32.16197507083615
0.2,2000,2838,13.692036645525018,927306,229934,188599,169330,73.64287143267198,59.66525722339676,127995,67.8662135006018,45.100422832980975,297325,104.76568005637773,32.063310277297894
0.3,100,2838,22.732205778717407,934299,235488,190518,173387,73.6288048647914,61.09478505990134,128417,67.40412979351032,45.24911909795631,301804,106.34390415785765,32.30272107751373
0.3,200,2838,21.46335447498238,934230,235336,190504,173290,73.63514294455587,61.06060606060606,128458,67.43060513165078,45.263565891472865,301748,106.32417195207893,32.299112638215426
0.3,500,2838,19.056025369978858,933743,234681,190366,172851,73.65359786263055,60.90591966173361,128536,67.52046058644926,45.29105003523608,301387,106.1969696969697,32.27729685791486
0.3,1000,2838,16.64059196617336,932516,233331,190057,171895,73.67002241450986,60.56906272022551,128621,67.67496066969383,45.321000704721634,300516,105.89006342494714,32.22636394442562
0.3,1500,2838,14.914023960535589,930400,231363,189431,170579,73.72786487035525,60.10535588442565,128647,67.9123269158691,45.33016208597604,299226,105.43551797040169,32.161006018916595
0.3,2000,2838,13.61169837914024,927430,228823,188640,168774,73.75744571131399,59.469344608879496,128591,68.16740882103477,45.31042988019732,297365,104.77977448907681,32.0633363164875
0.4,100,2838,22.410500352360817,934299,234646,190518,172956,73.70933235597454,60.94291754756871,128828,67.61985744129164,45.39393939393939,301784,106.3368569415081,32.300580435171184
0.4,200,2838,21.220577871740662,934230,234551,190504,172884,73.70848983803096,60.91754756871036,128837,67.62955108554151,45.397110641296685,301721,106.31465821000705,32.29622255761429
0.4,500,2838,18.916842847075404,933745,233961,190367,172485,73.72382576583277,60.776955602537,128891,67.70658780145719,45.41613812544045,301376,106.19309372797746,32.27604967094871
0.4,1000,2838,16.56448202959831,932529,232740,190063,171599,73.72991320787145,60.46476391825229,128922,67.83119281501396,45.42706131078224,300521,105.89182522903454,32.22645086640737
0.4,1500,2838,14.86645525017618,930416,230851,189437,170321,73.77962408653201,60.01444679351656,128907,68.04742473751168,45.42177589852008,299228,105.43622269203665,32.16066791628691
0.4,2000,2838,13.582100070472164,927497,228445,188669,168589,73.79850729934995,59.40415785764623,128813,68.27459731063396,45.38865398167724,297402,104.79281183932346,32.065009374693396
