tau,A_min,score_tau,n_images,n_instances,instances_per_image,score_mean,score_median,score_p05,score_p10,score_p25,score_lt_0_60_pct,score_lt_0_70_pct,score_lt_0_80_pct,score_lt_0_90_pct,area_median,area_p10,fill_ratio_mean,fill_ratio_p10,fill_ratio_lt_0_10_pct,depth_mad_norm_mean,depth_mad_norm_p90,boundary_support_mean
0.01,100,0.2,2975,137039,46.063529411764705,0.9643405992908658,0.9778556806393573,0.8807662305618588,0.914682891801174,0.9538583748160832,0.004378315661964842,0.05035063011259569,0.8698253781770153,7.349002838607987,1228.0,301.0,0.5174059570611437,0.2727272727272727,2.157050182794679,0.04107124912092793,0.10033220594864135,0.1343374270541047
0.01,200,0.2,2975,116797,39.25949579831933,0.968486593049709,0.9801955735406128,0.8959816846804222,0.925499183396069,0.9591119685237947,0.0,0.011986609245100473,0.4109694598320162,5.454763392895366,1678.0,485.0,0.5007571879701589,0.24056796659779617,3.2261102596813274,0.04355211054383679,0.10799008238443009,0.12321877057343301
0.01,500,0.2,2975,87397,29.377142857142857,0.9740392607712637,0.9831641485394632,0.9173587086749063,0.9393198025767892,0.9660359788872139,0.0,0.0,0.09039211872261062,2.963488449260272,2858.0,989.0,0.47312313703760855,0.17774242638072515,5.340000228840807,0.050392492830920455,0.12698187258214533,0.10348810170051241
0.01,1000,0.2,2975,65058,21.868235294117646,0.9777923364178248,0.9852079470181864,0.9309981299702965,0.9486431904082052,0.9705688491143276,0.0,0.0,0.015370899812475023,1.4494758523163946,4640.0,1804.0,0.44760988065478446,0.12993000632731005,7.513295828337791,0.058893998740396865,0.15382271774999293,0.08649126940820046
0.01,1500,0.2,2975,52810,17.75126050420168,0.979712028969833,0.9862884966754677,0.937865068560929,0.9536620581035324,0.9729392471116161,0.0,0.0,0.0037871615224389322,0.8710471501609542,6284.0,2578.0,0.43060541698885546,0.11135623800806903,8.831660670327588,0.06440998548112128,0.1703248909479313,0.07641986420080514
0.01,2000,0.2,2975,44906,15.094453781512605,0.9808888283793741,0.9869987398609634,0.9419447913627224,0.9563718275572244,0.9745308532883779,0.0,0.0,0.0,0.605709704716519,7737.0,3325.0,0.418049561315429,0.10318642206122881,9.67354028414911,0.06800640828073291,0.1827484402960537,0.0700919392631791
0.02,100,0.2,2975,116088,39.02117647058824,0.9612203613428733,0.9780340627743114,0.8639182696417395,0.9022979229133391,0.9488068224485309,0.010336985734959685,0.10767693473916339,1.4075528909103439,9.566018882227276,1367.0,277.0,0.506189520287295,0.2532833203631827,2.1027151815863827,0.046362961674752644,0.1194116976695304,0.14575522930820062
0.02,200,0.2,2975,101242,34.0309243697479,0.9661191410051354,0.980250984112587,0.8827521919629456,0.915692709674841,0.9556042912710863,0.0,0.02568104146500464,0.6677070780901206,7.128464471266866,1838.0,450.0,0.4914874428071312,0.2250644093778534,3.141976650006914,0.04885370071409349,0.12720655032655992,0.1330959373448555
0.02,500,0.2,2975,78741,26.467563025210083,0.9725032964274952,0.9830741158113893,0.9083451026772307,0.9336198619558652,0.9639701131267595,0.0,0.0012699864111454008,0.1498583965151573,3.9102881599166888,3041.0,936.0,0.4660375458898832,0.17004125286478228,5.288223416009449,0.05561905355582183,0.1471351393289772,0.11069809022564993
0.02,1000,0.2,2975,61174,20.562689075630253,0.9765933326748519,0.9849420609595202,0.9250581597395889,0.9449964105188571,0.9691942180925774,0.0,0.0,0.03759767221368555,2.02373557393664,4723.0,1714.0,0.44216102749474917,0.1277707358403476,7.555497433550201,0.06394751407912895,0.1708278372303624,0.09176368101059823
