class_id,class_name,fractal_dim,expected_regime
0,road,1.8934,frequent (large blob)
1,sidewalk,1.8691,frequent (large blob)
2,building,1.6931,frequent (large blob)
3,wall,1.7146,frequent (large blob)
4,fence,1.7016,frequent (large blob)
5,pole,1.6811,frequent (large blob)
6,traffic light,1.7409,mid (random patch)
7,traffic sign,1.7143,mid (random patch)
8,vegetation,1.7546,mid (random patch)
9,terrain,1.7081,mid (random patch)
10,sky,1.736,mid (random patch)
11,person,1.7266,mid (random patch)
12,rider,1.7305,mid (random patch)
13,car,0.9974,dead (thin strip / sparse)
14,truck,1.1429,dead (thin strip / sparse)
15,bus,0.7429,dead (thin strip / sparse)
16,train,0.7429,dead (thin strip / sparse)
17,motorcycle,0.2857,dead (thin strip / sparse)
18,bicycle,0.0,vacant (no pixels)
