strategy,seed,frozen_indices,post_median_sim
heuristic_lowest_pop,-1,"[16, 21, 32, 45, 46, 78]",0.3843
random,0,"[3, 21, 24, 39, 48, 63]",0.3475
random,1,"[2, 11, 35, 38, 58, 74]",0.3327
random,2,"[8, 19, 23, 32, 62, 65]",0.3406
random,3,"[6, 13, 14, 18, 60, 64]",0.3396
random,4,"[39, 54, 67, 71, 74, 78]",0.3149
random,5,"[1, 37, 41, 50, 61, 63]",0.3264
random,6,"[26, 29, 33, 39, 40, 74]",0.3061
random,7,"[45, 47, 52, 62, 69, 70]",0.3472
random_summary,-1,mean over 8 seeds,0.3319 ± 0.0141
